Albuquerque,New Mexico,35.12,-106.62
Anaheim,California,33.84,-117.87
Anchorage,Alaska,61.2176,-149.8997
Arlington,Texas,32.69,-97.13
Arlington,Virginia,38.88,-77.1
Atlanta,Georgia,33.76,-84.42
Aurora,Colorado,39.71,-104.73
Austin,Texas,30.31,-97.75
Bakersfield,California,35.36,-119
Baltimore,Maryland,39.3,-76.61
Boise,Idaho,43.61,-116.23
Boston,Massachusetts,42.34,-71.02
Buffalo,New York,42.89,-78.86
Chandler,Arizona,33.3,-111.87
Charlotte,North Carolina,35.2,-80.83
Chesapeake,Virginia,36.68,-76.31
Chicago,Illinois,41.84,-87.68
Chula Vista,California,32.63,-117.04
Cincinnati,Ohio,39.14,-84.51
Cleveland,Ohio,41.48,-81.68
Colorado Springs,Colorado,38.86,-104.76
Columbus,Ohio,39.99,-82.99
Corpus Christi,Texas,27.71,-97.29
Dallas,Texas,32.79,-96.77
Denver,Colorado,39.77,-104.87
Detroit,Michigan,42.38,-83.1
Durham,North Carolina,35.98,-78.91
El Paso,Texas,31.85,-106.44
Enterprise,Nevada,31.3152,-115.29
Fort Wayne,Indiana,41.07,-85.14
Fort Worth,Texas,32.75,-97.34
Fremont,California,37.53,-122
Fresno,California,36.78,-119.79
Garland,Texas,32.91,-96.63
Gilbert,Arizona,33.33,-111.76
Glendale,Arizona,33.58,-112.2
Greensboro,North Carolina,36.08,-79.83
Henderson,Nevada,36.03,-115
Honolulu,Hawaii,21.32,-157.8
Houston,Texas,29.7407,-95.4636
Indianapolis,Indiana,39.78,-86.15
Irvine,California,32.86,-117.823059
Irving,Texas,32.86,-96.97
Jacksonville,Florida,30.33,-81.66
Jersey City,New Jersey,40.71,-74.06
Kansas City,Missouri,39.12,-94.55
Laredo,Texas,27.53,-99.49
Las Vegas,Nevada,36.21,-115.22
Lexington,Kentucky,38.04,-84.46
Lincoln,Nebraska,40.82,-96.69
Long Beach,California,33.79,-118.16
Los Angeles,California,34.11,-118.41
Louisville,Kentucky,38.22,-85.74
Lubbock,Texas,33.58,-101.88
Madison,Wisconsin,43.08,-89.39
Memphis,Tennessee,35.11,-90.01
Mesa,Arizona,33.42,-111.74
Miami,Florida,25.78,-80.21
Milwaukee,Wisconsin,43.06,-87.97
Minneapolis,Minnesota,44.96,-93.27
Nashville,Tennessee,36.17,-86.78
New Orleans,Louisiana,30.07,-89.93
New York City,New York,40.67,-73.94
Newark,New Jersey,40.72,-74.17
Norfolk,Virginia,36.92,-76.24
North Las Vegas,Nevada,36.27,-115.14
Oakland,California,37.77,-122.22
Oklahoma City,Oklahoma,35.47,-97.51
Omaha,Nebraska,41.26,-96.01
Orlando,Florida,28.5,-81.37
Philadelphia,Pennsylvania,40.01,-75.13
Phoenix,Arizona,33.54,-112.07
Pittsburgh,Pennsylvania,40.44,-79.98
Plano,Texas,33.05,-96.75
Portland,Oregon,45.54,-122.66
Raleigh,North Carolina,35.82,-78.66
Reno,Nevada,39.54,-119.82
Riverside,California,33.94,-117.4
Sacramento,California,38.57,-121.47
San Antonio,Texas,29.46,-98.51
San Diego,California,32.81,-117.14
San Francisco,California,37.77,-122.45
San Jose,California,37.3,-121.85
San Juan,Puerto Rico,18.4655,-66.1057
Santa Ana,California,33.74,-117.88
Santa Clarita,California,34.41,-118.51
Scottsdale,Arizona,33.69,-111.87
Seattle,Washington,47.62,-122.35
St. Louis,Missouri,38.627,-90.1994
St. Paul,Minnesota,44.9537,-93.09
St. Petersburg,Florida,27.724722,-82.741943
Stockton,California,37.97,-121.31
Tampa,Florida,27.96,-82.48
Toledo,Ohio,41.66,-83.58
Tucson,Arizona,32.2,-110.89
Tulsa,Oklahoma,36.13,-95.92
Virginia Beach,Virginia,36.74,-76.04
Washington DC,District of Columbia,38.91,-77.02
Wichita,Kansas,37.69,-97.34
Winston-Salem,North Carolina,36.1,-80.26
